(kg) (lb) E1 E2 E3 E4 E5 F1 F2 F3 F4 F5 F6 G1 G2 G3 G4 H1 H2 H3 H4 H5 J1 J2
0.75 1.7 15.48 15.31 15.39 15.48 15.55 17.68 17.85 20.92 21.14 21.31 21.50 17.71 17.55 17.59 17.55 19.81 19.62 23.93 16.47 23.95 18.02 21.21
1.0 2.2 21.47 21.25 21.44 21.47 21.57 25.06 25.30 30.87 31.18 32.13 32.44 23.79 23.55 23.61 23.55 27.95 27.68 35.01 22.13 35.55 20.10 21.64
1.5 3.3 25.41 25.16 25.37 25.41 25.52 29.76 30.05 38.66 39.02 40.20 40.60 31.20 30.90 30.97 30.90 34.88 34.52 42.92 29.02 43.57 22.26 25.13
2.0 4.4 30.42 30.13 30.39 30.42 30.57 34.29 34.63 42.26 42.69 43.96 44.41 35.01 34.66 34.76 34.67 41.60 41.19 51.51 32.56 51.33 25.92 29.17
2.5 5.5 33.26 32.95 33.07 33.26 33.42 36.14 36.50 47.13 47.60 49.03 49.51 40.77 40.35 40.45 40.36 45.25 44.79 56.42 37.91 56.29 29.65 33.30
3.0 6.6 34.94 34.61 34.74 34.94 35.12 38.03 38.41 49.28 49.77 51.28 51.78 43.81 43.37 43.48 43.37 48.69 48.20 60.48 40.73 60.44 35.57 36.59
3.5 7.7 36.61 36.27 36.39 36.61 36.78 39.90 40.31 51.43 51.94 53.55 54.08 46.82 46.35 46.49 46.36 52.12 51.62 64.53 43.54 64.58 38.81 39.88
4.0 8.8 38.27 37.89 38.06 38.27 38.46 41.77 42.18 53.56 54.09 55.80 56.36 49.84 49.35 49.48 49.35 55.54 54.99 68.58 46.35 68.71 42.06 43.14
4.5 9.9 39.92 39.54 39.71 39.92 40.13 43.63 44.06 55.69 56.24 58.04 58.61 52.84 52.32 52.46 52.33 58.96 58.36 72.59 49.13 72.80 45.31 46.43
5.0 11.0 41.58 41.18 41.34 41.58 41.78 45.47 45.92 57.80 58.38 60.27 60.87 55.83 55.29 55.42 55.29 62.33 61.71 76.59 51.93 76.89 47.84 49.83
