(kg) (lb) 1 2 3 4 5 6 7
0.5 1.7 26.37 26.50 26.63 26.75 26.88 27.01 27.14
1.0 2.2 33.82 34.43 35.19 35.80 36.74 37.51 38.44
1.5 3.3 34.91 35.72 37.59 38.31 38.64 39.30 40.29
2.0 4.4 37.26 38.09 39.87 40.65 41.48 42.49 43.37
2.5 5.5 39.18 40.22 42.67 43.50 44.11 45.07 46.18
3.0 6.6 41.64 42.35 45.85 46.81 49.26 50.37 51.53
3.5 7.7 45.53 46.48 48.45 49.52 52.89 54.02 55.25
4.0 8.8 48.93 50.15 50.87 51.72 54.20 55.32 56.67
4.5 9.9 51.45 52.52 54.33 55.21 58.03 59.26 60.73
5.0 11.0 53.85 55.13 55.92 56.99 60.35 61.64 63.10
5.5 12.1 56.98 58.45 60.55 61.13 65.77 67.08 68.67
6.0 13.2 58.89 60.47 62.17 62.85 68.86 70.40 72.10
6.5 14.3 60.88 62.54 64.91 65.48 72.01 73.54 75.24
7.0 15.4 63.90 65.33 67.48 68.10 75.93 77.53 79.29
7.5 16.5 66.65 68.41 70.11 70.68 79.18 80.88 82.75
8.0 17.6 69.56 71.19 72.57 73.24 82.93 84.70 86.74
8.5 18.7 72.41 73.78 74.28 75.03 86.08 87.84 90.05
9.0 19.8 73.40 74.94 75.49 76.23 89.22 91.26 93.36
9.5 20.9 76.13 78.02 78.62 79.43 92.13 94.22 96.28
10.0 22.0 79.37 80.98 81.63 82.15 96.70 98.88 101.17
10.5 23.1 83.91 85.33 86.03 86.45 102.49 104.72 107.17
11.0 24.2 86.98 87.83 88.58 88.87 104.97 107.35 109.81
11.5 25.3 88.52 89.50 90.30 90.71 107.43 109.78 112.10
12.0 26.4 89.69 91.52 92.36 92.83 109.66 111.99 114.58
12.5 27.5 91.71 93.52 94.59 94.95 112.26 114.58 117.23
13.0 28.6 92.77 94.72 96.26 96.71 114.77 117.17 119.85
13.5 29.7 94.43 96.31 98.21 98.44 117.24 119.76 122.73
14.0 30.8 95.85 98.14 101.04 101.39 119.36 121.80 124.62
14.5 31.9 98.28 99.74 102.64 103.63 122.54 125.05 127.97
15.0 33.0 102.72 104.36 107.86 108.93 125.65 128.40 131.36
15.5 34.1 107.99 109.41 112.29 113.47 129.69 133.62 135.37
16.0 35.2 109.54 110.82 114.55 115.20 131.97 136.32 138.01
16.5 36.3 111.30 113.06 117.45 117.98 136.25 140.52 142.45
17.0 37.4 115.23 117.16 121.23 121.53 140.41 144.87 146.79
17.5 38.5 119.36 121.30 123.73 124.31 144.70 149.32 151.24
18.0 39.6 123.37 125.50 126.40 126.92 148.62 153.36 155.41
18.5 40.7 127.41 128.70 129.46 130.12 152.97 157.81 159.92
19.0 41.8 130.13 131.26 131.74 132.32 157.13 161.99 164.26
19.5 42.9 131.63 133.87 135.35 136.04 161.37 166.55 168.54
20.0 44.0 133.01 135.68 140.29 140.86 165.52 170.60 172.87
20.5 45.1 137.24 139.29 140.78 143.54 167.98 174.95 175.47
21.0 46.2 141.38 143.33 145.45 148.23 171.97 179.33 179.87
21.5 47.3 145.35 147.43 150.01 152.85 176.18 183.50 184.08
22.0 48.4 147.49 149.67 152.68 155.53 180.41 187.95 188.66
22.5 49.5 149.52 151.65 155.30 158.20 184.53 192.24 192.92
23.0 50.6 151.55 153.97 159.82 162.87 188.56 196.49 197.15
23.5 51.7 153.62 156.06 162.43 165.50 192.91 200.84 201.50
24.0 52.8 156.97 159.27 165.22 168.29 197.06 205.19 205.90
24.5 53.9 159.03 161.35 169.67 172.85 201.10 209.52 210.22
25.0 55.0 162.71 164.66 173.22 176.43 204.27 212.92 213.63
25.5 56.1 166.35 169.61 177.63 180.94 209.50 216.22 219.08
26.0 57.2 169.03 171.29 180.29 183.81 212.90 219.46 222.37
26.5 58.3 172.07 174.38 183.11 186.48 215.24 222.03 225.01
27.0 59.4 174.17 176.42 185.61 189.07 216.78 223.56 226.65
27.5 60.5 176.81 179.28 188.49 191.81 218.20 225.09 228.09
28.0 61.6 178.70 181.27 190.87 194.50 219.57 226.57 229.54
28.5 62.7 181.99 184.56 193.66 197.36 221.38 228.23 231.20
29.0 63.8 185.98 188.61 196.24 199.93 222.69 229.59 232.67
29.5 64.9 190.17 192.95 198.99 202.73 224.22 231.34 234.32
30.0 66.0 192.06 194.97 201.53 205.35 227.51 234.45 237.61
30.1 66.1 4.19 4.24 4.40 4.61 4.86 4.94 5.03
