(kg) (lb) A1 A2 A3 A4 A5 A6 B1 B2 B3 B4 B5 C1 C2 C3 C4 C5 D1 D2 D3 D4 D5 D6 D7
0.75 1.7 21.07 24.16 21.13 21.17 23.74 22.96 26.45 26.39 27.07 27.03 27.54 26.15 27.55 26.61 27.75 27.42 32.70 32.62 34.31 34.00 34.52 33.58 34.23
1.0 2.2 21.75 24.98 21.79 21.80 24.47 23.78 27.41 27.35 28.00 27.95 28.62 27.05 28.72 27.39 28.70 28.37 34.33 34.25 36.03 35.64 36.43 35.28 36.20
1.5 3.3 22.25 25.51 22.31 22.32 24.96 24.39 28.01 27.94 28.54 28.51 29.19 27.56 29.24 27.93 29.26 28.95 35.00 34.89 36.72 36.32 37.47 35.96 37.25
2.0 4.4 22.89 25.78 22.91 22.94 25.68 25.20 28.78 28.72 29.34 29.30 30.02 28.32 30.07 28.73 30.08 29.76 35.91 35.83 37.65 37.31 38.51 36.89 38.24
2.5 5.5 23.53 25.87 23.56 23.57 26.37 26.01 29.49 29.43 30.14 30.11 30.83 29.11 30.92 29.49 30.89 30.58 36.84 36.74 38.68 38.23 39.46 37.86 39.24
3.0 6.6 24.11 26.50 24.12 24.16 27.02 26.63 30.19 30.12 30.83 30.79 31.54 29.78 31.63 30.19 31.61 31.26 37.69 37.61 39.58 39.06 40.32 38.74 40.16
3.5 7.7 24.67 27.11 24.72 24.74 27.68 27.28 30.89 30.80 31.53 31.49 32.24 30.47 32.33 30.88 32.32 31.96 38.55 38.45 40.47 39.89 41.16 39.62 41.06
4.0 8.8 25.25 27.74 25.29 25.33 28.31 27.90 31.59 31.51 32.22 32.19 32.94 31.15 33.05 31.55 33.03 32.66 39.40 39.31 41.37 40.69 42.00 40.49 41.97
4.5 9.9 25.83 28.34 25.87 25.89 28.96 28.53 32.26 32.20 32.92 32.88 33.66 31.80 33.76 32.24 33.74 33.33 40.23 40.15 42.23 41.51 42.84 41.37 42.87
5.0 11.0 26.39 28.96 26.44 26.45 29.58 29.16 32.95 32.89 33.61 33.56 34.35 32.48 34.47 32.91 34.45 34.02 41.09 40.99 43.12 42.31 43.67 42.22 43.77
5.5 12.1 26.96 29.57 27.02 27.03 30.23 29.79 33.65 33.56 34.30 34.23 35.05 33.14 35.18 33.59 35.14 34.69 41.89 41.78 43.95 43.09 44.47 43.05 44.62
6.0 13.2 27.53 30.17 27.56 27.60 30.86 30.41 34.33 34.24 34.96 34.91 35.74 33.79 35.87 34.27 35.83 35.38 42.68 42.58 44.78 43.88 45.27 43.86 45.45
6.5 14.3 28.09 30.78 28.13 28.16 31.49 31.02 35.01 34.92 35.64 35.59 36.41 34.46 36.57 34.93 36.52 36.05 43.48 43.38 45.60 44.64 46.11 44.67 46.31
7.0 15.4 28.66 31.38 28.70 28.72 32.12 31.64 35.67 35.59 36.32 36.27 37.12 35.11 37.28 35.59 37.21 36.72 44.27 44.18 46.40 45.42 46.93 45.48 47.14
7.5 16.5 29.22 31.98 29.25 29.27 32.74 32.26 36.36 36.27 37.01 36.95 37.80 35.77 37.96 36.27 37.89 37.37 45.06 44.94 47.23 46.20 47.77 46.29 47.98
8.0 17.6 29.76 32.58 29.81 29.84 33.36 32.87 37.03 36.95 37.67 37.61 38.48 36.40 38.66 36.91 38.58 38.06 45.84 45.73 48.05 46.93 48.59 47.09 48.79
8.5 18.7 30.31 33.17 30.36 30.39 33.99 33.47 37.69 37.60 38.32 38.26 39.15 37.05 39.34 37.57 39.25 38.71 46.63 46.52 48.84 47.70 49.41 47.87 49.62
9.0 19.8 30.86 33.75 30.92 30.95 34.60 34.08 38.34 38.26 38.99 38.93 39.82 37.69 40.03 38.22 39.93 39.36 47.41 47.28 49.66 48.44 50.23 48.68 50.44
9.5 20.9 31.42 34.34 31.46 31.50 35.21 34.68 39.01 38.92 39.66 39.57 40.49 38.33 40.69 38.87 40.60 40.01 48.18 48.05 50.45 49.19 51.04 49.46 51.24
10.0 22.0 31.96 34.93 32.01 32.03 35.83 35.28 39.68 39.57 40.30 40.25 41.16 38.98 41.36 39.53 41.27 40.68 48.95 48.82 51.24 49.94 51.86 50.25 52.08
10.5 23.1 32.50 35.51 32.54 32.58 36.43 35.88 40.33 40.23 40.96 40.90 41.82 39.62 42.04 40.18 41.94 41.33 49.71 49.58 52.28 50.67 52.68 51.04 52.90
11.0 24.2 33.04 36.09 33.09 33.12 37.04 36.49 40.98 40.88 41.61 41.54 42.49 40.23 42.70 40.81 42.60 41.97 50.48 50.35 53.08 51.42 53.47 51.82 53.68
11.5 25.3 33.58 36.67 33.63 33.66 37.63 37.07 41.63 41.52 42.26 42.18 43.14 40.87 43.38 41.45 43.26 42.62 51.22 51.10 53.86 52.14 54.27 52.60 54.49
12.0 26.4 34.10 37.25 34.16 34.19 38.24 37.67 42.27 42.17 42.89 42.83 43.81 41.49 44.04 42.10 43.93 43.25 51.98 51.85 54.66 52.89 55.07 53.36 55.29
12.5 27.5 34.64 37.82 34.70 34.72 38.83 38.24 42.90 42.82 43.54 43.45 44.45 42.12 44.70 42.72 44.57 43.90 52.74 52.60 55.42 53.61 55.86 54.13 56.08
13.0 28.6 35.18 38.37 35.22 35.27 39.43 38.82 43.55 43.44 44.18 44.10 45.10 42.73 45.36 43.34 45.22 44.52 53.49 53.35 56.21 54.33 56.65 54.90 56.88
13.5 29.7 35.71 38.94 35.76 35.79 40.02 39.40 44.20 44.08 44.81 44.74 45.75 43.34 46.00 43.96 45.89 45.15 54.24 54.08 57.00 55.05 57.42 55.65 57.66
14.0 30.8 36.22 39.50 36.27 36.31 40.61 39.97 44.82 44.71 45.45 45.36 46.39 43.95 46.66 44.59 46.53 45.78 54.97 54.84 57.75 55.77 58.21 56.42 58.45
14.5 31.9 36.76 40.07 36.80 36.83 41.20 40.55 45.45 45.33 46.07 46.00 47.02 44.56 47.30 45.20 47.17 46.39 55.71 55.57 58.53 56.48 58.98 57.15 59.21
15.0 33.0 37.27 40.63 37.33 37.36 41.77 41.13 46.07 45.97 46.71 46.62 47.66 45.17 47.95 45.82 47.81 47.03 56.43 56.31 59.28 57.19 59.76 57.92 59.99
15.5 34.1 37.78 41.20 37.83 37.88 42.36 41.70 46.71 46.59 47.31 47.24 48.29 45.78 48.59 46.45 48.44 47.64 57.16 57.02 60.04 57.88 60.52 58.65 60.76
16.0 35.2 39.22 42.81 39.28 39.30 44.04 43.35 48.54 48.43 49.18 49.10 50.17 47.57 50.29 48.27 50.13 49.51 59.29 59.15 62.37 60.11 62.60 60.92 62.85
