(kg) (lb) E1 E2 E3 E4 E5 F1 F2 F3 F4 F5 F6 G1 G2 G3 G4 H1 H2 H3 H4 H5
0.75 1.7 39.70 39.33 39.50 39.59 39.88 42.84 43.24 50.85 51.35 52.38 52.89 45.18 44.73 44.95 44.85 52.49 52.00 60.59 42.12 62.08
1.0 2.2 40.93 40.53 40.72 40.82 41.13 44.71 45.13 52.22 52.72 53.77 54.29 46.58 46.12 46.36 46.24 55.01 54.48 62.55 43.42 64.09
1.5 3.3 44.32 43.92 44.11 44.23 44.55 48.36 48.82 56.43 56.97 58.10 58.67 50.31 49.83 50.07 49.93 60.31 59.73 67.21 46.90 68.90
2.0 4.4 48.15 47.68 47.91 48.05 48.39 52.38 52.90 60.96 61.55 62.79 63.39 54.49 53.96 54.22 54.10 65.23 64.61 72.61 50.80 74.41
2.5 5.5 52.04 51.53 51.77 51.90 52.28 56.39 56.94 65.47 66.12 67.44 68.11 58.72 58.16 58.44 58.30 70.14 69.47 78.03 54.74 79.94
3.0 6.6 55.42 54.89 55.15 55.29 55.68 60.00 60.57 69.30 69.97 71.39 72.08 62.48 61.86 62.16 62.01 74.49 73.78 82.64 58.23 84.67
3.5 7.7 58.80 58.23 58.52 58.67 59.07 63.60 64.21 73.10 73.81 75.31 76.03 66.19 65.57 65.88 65.72 78.82 78.08 87.22 61.71 89.39
4.0 8.8 62.16 61.57 61.87 62.01 62.48 67.17 67.83 76.88 77.64 79.20 79.96 69.91 69.24 69.57 69.41 83.15 82.34 91.78 65.17 94.08
4.5 9.9 65.50 64.88 65.19 65.36 65.83 70.73 71.44 80.67 81.44 83.10 83.90 73.61 72.91 73.25 73.07 87.44 86.59 96.34 68.63 98.75
5.0 11.0 68.85 68.18 68.52 68.69 69.18 74.29 75.02 84.41 85.23 86.96 87.80 77.29 76.55 76.91 76.73 91.74 90.84 100.84 72.05 103.40
5.5 12.1 72.09 71.42 71.76 71.92 72.44 77.72 78.48 88.05 88.92 90.72 91.60 80.89 80.12 80.49 80.30 95.88 94.95 105.27 75.41 107.91
6.0 13.2 75.34 74.61 74.98 75.14 75.70 81.16 81.95 91.69 92.59 94.48 95.40 84.47 83.66 84.06 83.86 100.00 99.05 109.64 78.75 112.39
6.5 14.3 78.56 77.81 78.17 78.38 78.94 84.57 85.39 95.32 96.23 98.21 99.16 88.02 87.18 87.61 87.39 104.13 103.13 114.01 82.06 116.85
7.0 15.4 81.76 80.98 81.37 81.58 82.16 87.97 88.82 98.91 99.86 101.94 102.93 91.58 90.70 91.14 90.92 108.24 107.18 118.34 85.37 121.29
7.5 16.5 84.95 84.14 84.55 84.76 85.36 91.34 92.22 102.49 103.48 105.64 106.66 95.12 94.20 94.65 94.43 112.32 111.24 122.66 88.67 125.71
8.0 17.6 88.14 87.29 87.72 87.94 88.56 94.72 95.64 106.05 107.09 109.34 110.40 98.63 97.69 98.17 97.92 116.38 115.26 126.97 91.94 130.12
8.5 18.7 91.30 90.42 90.88 91.08 91.76 98.07 99.03 109.60 110.67 113.00 114.09 102.13 101.16 101.65 101.40 120.44 119.29 131.27 95.21 134.51
