(kg) (lb) 1 2 3 4 5 6 7
0.5 1.7 65.18 90.23 88.50 93.08 131.36 133.16 170.48
1.0 2.2 71.33 108.04 109.69 117.49 147.64 162.04 187.35
1.5 3.3 84.38 124.01 125.40 132.86 164.74 188.81 212.18
2.0 4.4 97.43 137.93 139.13 148.13 181.65 216.19 236.48
2.5 5.5 110.44 151.80 153.41 162.94 198.68 244.61 260.81
3.0 6.6 123.45 166.24 167.74 177.60 215.66 264.00 285.71
3.5 7.7 133.99 180.68 181.88 192.26 223.99 280.16 310.65
4.0 8.8 144.34 195.15 196.16 207.11 240.26 301.28 335.59
4.5 9.9 154.84 209.66 210.41 221.85 256.28 322.46 359.21
5.0 11.0 165.53 224.14 224.66 236.51 272.78 343.69 382.88
5.5 12.1 181.20 244.91 244.24 255.98 305.59 388.13 434.18
6.0 13.2 189.11 255.15 254.59 265.91 322.05 411.41 460.35
6.5 14.3 197.03 265.58 264.86 275.78 339.04 434.78 485.89
7.0 15.4 204.90 275.85 274.95 286.69 352.61 454.88 511.61
7.5 16.5 212.81 285.30 284.14 297.41 366.23 474.90 537.19
8.0 17.6 220.76 295.61 292.84 307.91 377.51 495.00 564.79
8.5 18.7 228.68 305.44 302.40 318.26 392.29 515.18 589.80
9.0 19.8 236.66 316.35 313.01 328.61 407.03 535.24 614.70
9.5 20.9 245.48 326.63 322.84 339.00 423.49 555.41 639.64
10.0 22.0 250.13 335.48 331.95 348.45 434.70 571.43 664.61
10.5 23.1 259.35 353.29 350.03 367.54 465.00 603.49 719.89
11.0 24.2 264.00 362.10 361.09 377.14 481.28 619.61 747.38
11.5 25.3 268.69 371.03 369.98 386.74 494.81 635.55 772.39
12.0 26.4 273.23 379.91 378.56 396.19 508.31 651.64 797.36
12.5 27.5 277.95 388.69 387.30 405.98 521.89 667.73 822.34
13.0 28.6 282.49 397.61 395.51 415.31 533.55 683.81 847.24
13.5 29.7 287.10 406.09 404.06 425.21 547.13 704.70 872.18
14.0 30.8 291.71 414.94 413.10 434.89 560.51 725.74 898.46
14.5 31.9 295.65 423.79 421.73 444.64 574.09 746.70 921.34
15.0 33.0 303.49 443.51 439.13 464.14 601.05 788.63 963.00
15.5 34.1 307.46 452.33 448.84 473.89 615.79 809.51 983.85
16.0 35.2 311.36 461.06 457.50 483.68 630.53 830.63 1004.74
16.5 36.3 315.34 470.03 466.16 493.43 645.71 851.51 1025.51
17.0 37.4 319.24 478.80 474.90 503.14 661.09 866.36 1046.25
17.5 38.5 323.14 487.73 483.60 512.89 674.03 881.06 1067.10
18.0 39.6 327.00 496.54 492.26 522.68 686.81 895.99 1087.95
18.5 40.7 331.01 507.30 501.00 532.35 699.56 910.69 1108.84
19.0 41.8 334.88 516.56 509.96 542.21 712.39 930.86 1132.61
19.5 42.9 338.74 525.68 518.93 551.93 725.18 950.89 1153.65
20.0 44.0 346.69 544.01 536.85 571.54 750.86 991.16 1193.33
20.5 45.1 350.59 553.24 548.70 581.29 765.19 1011.26 1214.29
21.0 46.2 354.49 562.43 557.29 591.04 779.33 1030.99 1234.09
21.5 47.3 358.35 571.61 566.03 600.64 793.58 1050.86 1253.85
22.0 48.4 362.21 580.76 574.65 610.39 807.90 1069.31 1273.73
22.5 49.5 366.19 589.95 583.24 620.25 822.23 1087.76 1293.45
23.0 50.6 370.58 599.10 591.90 630.04 836.36 1106.10 1313.18
23.5 51.7 374.96 608.36 600.45 639.68 850.39 1124.66 1344.08
24.0 52.8 379.39 617.55 609.15 649.54 864.34 1143.04 1365.45
24.5 53.9 383.74 626.74 617.70 659.33 878.18 1162.35 1386.98
25.0 55.0 392.51 645.08 635.14 678.71 906.15 1200.71 1430.03
25.5 56.1 396.86 654.23 651.15 688.46 920.51 1219.69 1451.48
26.0 57.2 401.14 663.30 659.70 698.29 934.31 1235.70 1473.04
26.5 58.3 405.60 672.56 668.21 708.04 948.30 1251.75 1494.49
27.0 59.4 409.95 681.75 676.84 717.79 962.40 1267.61 1515.98
27.5 60.5 414.30 690.90 685.28 727.46 976.35 1283.51 1537.46
28.0 61.6 418.24 700.09 693.83 737.36 990.26 1299.60 1559.10
28.5 62.7 422.21 709.31 702.49 747.00 1004.36 1318.39 1580.51
29.0 63.8 426.15 718.39 711.08 756.75 1018.20 1337.18 1602.11
29.5 64.9 429.90 727.69 719.51 766.54 1030.95 1355.96 1623.49
30.0 66.0 437.85 745.95 736.65 786.04 1056.23 1393.54 1666.46
30.1 66.1 4.13 9.95 10.21 10.54 15.02 13.58 22.46
