(kg) (lb) A1 A2 A3 A4 A5 A6 B1 B2 B3 B4 B5 C1 C2 C3 C4 C5 D1 D2 D3 D4 D5 D6 D7
0.75 1.7 10.13 10.24 10.14 10.22 10.89 11.26 11.87 11.85 12.28 12.22 12.29 12.30 12.42 12.06 12.52 12.28 13.67 13.61 14.37 13.97 14.42 13.93 14.01
1.0 2.2 10.82 11.09 10.85 10.93 11.45 12.11 12.48 12.45 12.84 12.78 13.00 12.91 13.28 12.49 13.11 12.84 15.04 14.99 15.80 15.38 15.85 15.44 15.63
1.5 3.3 11.49 11.82 11.52 11.62 11.99 12.92 13.21 13.20 13.69 13.64 13.88 13.79 14.29 13.32 13.99 13.73 15.94 15.89 16.79 16.24 16.79 16.36 16.59
2.0 4.4 11.62 12.19 11.64 11.76 12.20 13.17 13.80 13.77 14.25 14.21 14.44 14.34 14.80 13.90 14.56 14.22 16.63 16.56 17.50 17.05 17.61 17.07 17.35
2.5 5.5 11.87 12.65 11.89 12.02 12.85 13.67 14.31 14.29 14.76 14.71 14.95 14.84 15.41 14.39 15.07 14.73 17.51 17.42 18.32 17.73 18.30 17.93 18.18
3.0 6.6 12.31 13.10 12.34 12.46 13.34 14.13 14.83 14.80 15.26 15.20 15.46 15.34 15.96 14.89 15.59 15.23 18.12 18.06 18.98 18.36 18.95 18.58 18.83
3.5 7.7 12.75 13.55 12.78 12.91 13.78 14.56 15.33 15.32 15.77 15.72 15.98 15.86 16.51 15.37 16.11 15.73 18.73 18.67 19.73 18.98 19.62 19.20 19.48
4.0 8.8 13.21 14.01 13.22 13.33 14.23 15.03 15.83 15.81 16.28 16.22 16.47 16.37 17.06 15.87 16.62 16.23 19.34 19.28 20.39 19.62 20.26 19.84 20.11
4.5 9.9 13.63 14.43 13.66 13.78 14.64 15.47 16.33 16.32 16.78 16.72 17.00 16.91 17.61 16.35 17.13 16.72 19.96 19.88 21.05 20.24 20.91 20.46 20.76
5.0 11.0 14.07 14.88 14.10 14.22 15.09 15.91 16.83 16.80 17.28 17.22 17.50 17.44 18.17 16.85 17.63 17.20 20.56 20.49 21.69 20.87 21.55 21.08 21.40
5.5 12.1 14.49 15.31 14.54 14.66 15.52 16.33 17.23 17.21 17.69 17.62 17.90 17.94 18.68 17.34 18.13 17.69 21.13 21.07 22.33 21.47 22.16 21.70 22.03
6.0 13.2 14.92 15.76 14.96 15.10 15.96 16.77 17.72 17.69 18.16 18.10 18.38 18.43 19.19 17.80 18.62 18.16 21.71 21.64 22.96 22.07 22.79 22.30 22.65
