(kg) (lb) 1 2 3 4 5 6 7
0.5 1.7 19.43 19.66 19.70 19.83 19.96 19.97 20.44
1.0 2.2 21.29 21.51 21.55 21.61 21.78 21.85 22.53
1.5 3.3 22.96 23.29 23.63 23.80 25.14 25.85 26.02
2.0 4.4 24.74 25.07 25.17 25.53 27.57 28.16 28.55
2.5 5.5 26.05 26.55 26.78 27.22 28.09 28.93 29.26
3.0 6.6 27.00 27.33 27.96 28.41 28.92 29.66 30.24
3.5 7.7 28.41 28.74 29.73 30.17 31.28 32.08 32.74
4.0 8.8 29.60 30.64 30.98 31.36 32.61 33.85 33.98
4.5 9.9 30.68 31.83 32.69 33.01 34.86 35.82 35.96
5.0 11.0 32.68 33.14 34.42 34.66 36.90 37.93 39.68
5.5 12.1 34.54 35.59 36.84 37.09 39.89 41.38 42.25
6.0 13.2 35.68 37.57 38.50 38.80 41.51 44.13 44.72
6.5 14.3 37.73 39.51 40.39 40.76 44.04 46.31 46.94
7.0 15.4 39.53 41.58 42.09 42.48 45.62 48.55 48.68
7.5 16.5 41.57 42.79 43.85 44.24 47.70 50.78 51.10
8.0 17.6 43.65 44.35 45.57 46.00 49.54 53.06 53.28
8.5 18.7 44.24 44.62 47.70 47.98 51.68 55.56 56.15
9.0 19.8 46.01 46.34 49.40 49.72 54.05 57.83 58.49
9.5 20.9 47.48 48.50 51.17 51.48 57.30 59.92 60.85
10.0 22.0 49.00 50.20 53.14 53.81 58.70 60.67 62.70
10.5 23.1 50.53 51.91 54.18 55.03 59.92 63.16 64.91
11.0 24.2 51.70 52.79 55.98 56.59 62.55 66.11 67.95
11.5 25.3 53.12 54.57 57.69 58.38 63.19 67.91 70.18
12.0 26.4 54.46 55.97 59.51 60.06 63.55 70.10 72.61
12.5 27.5 56.25 58.01 61.50 61.87 65.11 72.31 74.93
13.0 28.6 58.42 60.28 63.14 63.19 66.99 73.25 77.05
13.5 29.7 59.94 61.56 63.54 64.11 67.55 75.45 78.15
14.0 30.8 61.58 63.46 64.41 64.62 68.92 77.32 79.24
14.5 31.9 62.97 64.87 65.74 66.27 70.12 78.22 80.02
15.0 33.0 64.46 66.30 67.87 68.25 71.88 80.00 82.65
15.5 34.1 66.78 67.57 70.34 71.26 76.10 82.81 85.99
16.0 35.2 67.93 68.97 72.40 73.20 78.19 85.53 88.43
16.5 36.3 69.35 70.57 74.31 75.45 80.25 87.90 90.59
17.0 37.4 70.76 72.23 76.21 77.67 82.46 90.45 93.49
17.5 38.5 72.54 73.97 78.14 79.61 84.55 92.99 95.77
18.0 39.6 74.31 75.21 80.05 81.53 86.72 95.42 97.93
18.5 40.7 75.80 76.94 81.96 83.11 88.88 97.90 100.28
19.0 41.8 77.58 78.42 82.94 84.11 90.60 98.60 102.66
19.5 42.9 79.04 80.20 84.53 86.02 92.80 100.76 104.90
20.0 44.0 80.47 81.68 85.81 86.66 97.58 103.02 107.07
20.5 45.1 81.86 83.53 87.69 89.26 100.41 109.11 110.29
21.0 46.2 83.60 84.52 89.51 90.70 102.61 112.83 113.73
21.5 47.3 85.35 86.27 91.38 92.64 104.62 114.40 116.59
22.0 48.4 87.11 88.04 93.25 94.52 106.65 116.33 118.61
22.5 49.5 88.87 89.81 95.15 96.41 108.73 118.70 120.96
23.0 50.6 90.64 91.59 97.03 98.33 111.05 120.99 123.24
23.5 51.7 92.37 93.35 98.89 100.25 114.45 123.24 125.67
24.0 52.8 94.12 95.13 100.76 102.12 117.30 125.69 128.04
24.5 53.9 95.89 96.89 102.65 104.04 118.92 127.65 130.07
25.0 55.0 97.64 98.67 104.53 105.94 121.82 128.34 130.82
25.5 56.1 99.17 100.23 107.27 107.91 123.17 131.91 134.41
26.0 57.2 100.92 101.99 109.11 109.85 125.08 132.84 135.42
26.5 58.3 102.69 103.79 111.05 111.72 126.94 134.99 137.57
27.0 59.4 104.41 105.54 112.93 113.64 128.17 136.50 139.11
27.5 60.5 106.19 107.31 114.82 115.53 129.97 138.55 141.14
28.0 61.6 107.93 109.07 116.71 117.45 131.44 140.67 143.35
28.5 62.7 109.66 110.84 118.61 119.33 133.17 142.87 145.69
29.0 63.8 111.44 112.62 120.50 121.24 134.52 145.20 147.96
29.5 64.9 112.51 114.38 122.39 123.15 136.24 147.31 150.15
30.0 66.0 114.24 116.17 124.28 125.04 138.98 149.52 152.36
30.1 66.1 1.45 1.57 1.60 1.66 2.21 2.25 2.30
