(kg) (lb) E1 E2 E3 E4 E5 F1 F2 F3 F4 F5 F6 G1 G2 G3 G4 H1 H2 H3 H4 H5 J1 J2
0.75 1.7 14.73 14.59 14.65 14.73 14.80 16.84 17.01 19.93 20.15 20.28 20.48 16.87 16.72 16.75 16.72 18.88 18.68 22.79 16.36 22.81 18.02 21.21
1.0 2.2 20.41 20.21 20.38 20.41 20.50 23.81 24.04 29.33 29.62 30.53 30.83 22.60 22.38 22.43 22.38 26.58 26.30 33.27 21.92 33.78 20.10 21.64
1.5 3.3 24.19 23.95 24.17 24.19 24.30 28.34 28.61 36.81 37.17 38.29 38.68 29.71 29.43 29.49 29.43 33.22 32.88 40.88 28.82 41.49 22.26 25.13
2.0 4.4 28.98 28.68 28.94 28.98 29.11 32.66 32.98 40.23 40.64 41.88 42.30 33.35 33.03 33.10 33.03 39.62 39.24 49.06 32.35 48.89 25.92 29.17
2.5 5.5 31.68 31.37 31.50 31.68 31.83 34.44 34.77 44.88 45.31 46.68 47.15 38.81 38.45 38.53 38.45 43.09 42.66 53.74 37.65 53.62 29.65 33.30
3.0 6.6 33.29 32.96 33.09 33.29 33.44 36.22 36.59 46.93 47.39 48.84 49.33 41.72 41.31 41.42 41.31 46.37 45.91 57.62 40.45 57.58 35.57 36.59
3.5 7.7 34.87 34.53 34.68 34.87 35.04 38.02 38.41 48.96 49.44 51.00 51.50 44.59 44.17 44.27 44.16 49.64 49.15 61.47 43.26 61.51 38.81 39.88
4.0 8.8 36.46 36.11 36.24 36.46 36.65 39.79 40.18 51.00 51.50 53.14 53.66 47.47 47.01 47.13 47.00 52.89 52.38 65.31 46.05 65.44 42.06 43.14
4.5 9.9 38.04 37.68 37.82 38.04 38.23 41.57 41.99 53.03 53.56 55.28 55.81 50.33 49.83 49.97 49.84 56.15 55.59 69.14 48.82 69.35 45.31 46.43
5.0 11.0 39.62 39.24 39.39 39.62 39.83 43.33 43.75 55.03 55.58 57.40 57.96 53.17 52.65 52.80 52.66 59.37 58.79 72.94 51.57 73.24 47.84 49.83
5.5 12.1 41.13 40.72 40.89 41.13 41.32 45.03 45.49 56.95 57.52 59.41 60.00 55.95 55.41 55.54 55.41 62.45 61.84 76.59 54.27 76.99 51.35 56.08
6.0 13.2 42.60 42.20 42.36 42.60 42.82 46.73 47.20 58.86 59.47 61.41 62.02 58.70 58.13 58.27 58.13 65.52 64.88 80.25 56.93 80.73 54.41 59.38
6.5 14.3 44.10 43.67 43.83 44.10 44.31 48.43 48.92 60.76 61.37 63.39 64.04 61.44 60.85 60.98 60.85 68.57 67.90 83.87 59.59 84.44 57.42 62.67
7.0 15.4 45.56 45.13 45.32 45.56 45.79 50.12 50.62 62.68 63.30 65.38 66.03 64.16 63.55 63.71 63.55 71.62 70.90 87.51 62.24 88.13 60.46 65.92
7.5 16.5 47.05 46.59 46.78 47.05 47.26 51.80 52.30 64.57 65.21 67.37 68.02 66.89 66.25 66.39 66.25 74.64 73.90 91.10 64.89 91.83 63.48 69.18
8.0 17.6 48.50 48.03 48.23 48.50 48.74 53.46 54.00 66.45 67.11 69.33 70.01 69.59 68.92 69.09 68.92 77.65 76.89 94.68 67.50 95.48 66.48 72.42
8.5 18.7 49.96 49.49 49.68 49.96 50.21 55.14 55.69 68.31 69.00 71.27 71.99 72.29 71.58 71.76 71.58 80.66 79.85 98.25 70.12 99.14 69.47 75.66
9.0 19.8 51.42 50.92 51.12 51.42 51.67 56.81 57.36 70.19 70.88 73.23 73.95 74.96 74.23 74.43 74.25 83.63 82.81 101.80 72.72 102.77 72.46 78.90
9.5 20.9 52.86 52.34 52.55 52.86 53.12 58.44 59.02 72.04 72.76 75.17 75.91 77.64 76.88 77.07 76.89 86.61 85.76 105.34 75.30 106.41 75.45 82.11
10.0 22.0 54.29 53.78 53.98 54.29 54.56 60.09 60.68 73.89 74.63 77.11 77.87 80.29 79.52 79.72 79.53 89.56 88.69 108.86 77.89 110.00 79.67 86.03
10.5 23.1 55.68 55.13 55.35 55.68 55.95 61.65 62.25 75.67 76.44 78.95 79.72 82.83 82.01 82.22 82.02 92.42 91.53 112.22 80.35 113.45 84.67 89.26
11.0 24.2 57.06 56.50 56.71 57.06 57.33 63.21 63.82 77.45 78.21 80.78 81.58 85.35 84.53 84.72 84.53 95.27 94.32 115.56 82.79 116.90 87.78 92.49
11.5 25.3 58.41 57.84 58.08 58.41 58.70 64.73 65.37 79.24 80.00 82.61 83.42 87.85 87.00 87.22 87.00 98.09 97.13 118.89 85.21 120.31 90.86 95.70
12.0 26.4 59.77 59.20 59.41 59.77 60.06 66.28 66.91 80.99 81.77 84.41 85.25 90.36 89.48 89.70 89.49 100.91 99.93 122.19 87.64 123.72 93.94 98.91
12.5 27.5 61.12 60.52 60.76 61.12 61.41 67.80 68.47 82.73 83.55 86.23 87.08 92.83 91.94 92.16 91.94 103.73 102.70 125.51 90.04 127.11 97.00 102.09
13.0 28.6 62.45 61.86 62.08 62.45 62.76 69.32 70.00 84.49 85.32 88.04 88.90 95.32 94.38 94.62 94.39 106.51 105.47 128.79 92.46 130.48 100.06 105.29
13.5 29.7 63.80 63.18 63.43 63.80 64.10 70.84 71.52 86.21 87.07 89.82 90.71 97.77 96.83 97.07 96.83 109.31 108.22 132.06 94.84 133.85 103.10 108.46
14.0 30.8 65.13 64.49 64.73 65.13 65.44 72.33 73.06 87.93 88.81 91.61 92.51 100.23 99.24 99.49 99.25 112.07 110.96 135.32 97.23 137.19 106.15 111.65
