(kg) (lb) 1 2 3 4 5 6 7
0.5 1.7 24.85 24.97 25.09 25.21 25.33 25.46 25.58
1.0 2.2 32.09 32.75 33.44 33.97 34.97 35.80 36.58
1.5 3.3 33.04 33.98 35.81 36.48 36.73 37.39 38.39
2.0 4.4 35.26 36.31 37.88 38.64 39.48 40.36 41.20
2.5 5.5 37.17 38.28 40.58 41.36 41.94 42.91 43.87
3.0 6.6 39.45 40.37 43.66 44.58 46.89 47.90 48.98
3.5 7.7 43.17 44.23 46.14 47.13 50.25 51.40 52.54
4.0 8.8 46.48 47.68 48.37 49.27 51.63 52.64 53.81
4.5 9.9 48.80 50.02 51.66 52.51 55.24 56.45 57.76
5.0 11.0 51.06 52.35 53.23 54.15 57.48 58.70 60.06
5.5 12.1 54.30 55.10 57.06 58.20 62.53 63.82 65.30
6.0 13.2 56.01 56.94 58.67 59.81 65.53 66.97 68.58
6.5 14.3 57.98 59.03 61.17 62.28 68.46 69.95 71.61
7.0 15.4 60.71 61.62 63.57 64.75 72.26 73.77 75.41
7.5 16.5 63.49 64.44 66.08 67.28 75.39 77.09 78.75
8.0 17.6 65.35 66.27 68.38 69.69 79.05 80.62 82.57
8.5 18.7 68.12 69.08 70.07 71.43 81.93 83.60 85.67
9.0 19.8 69.08 70.03 71.35 72.65 84.90 86.82 88.87
9.5 20.9 72.33 73.34 74.08 75.65 87.69 89.70 91.65
10.0 22.0 75.51 76.69 76.83 78.20 92.10 94.08 96.23
10.5 23.1 79.89 81.48 81.95 82.27 97.61 99.67 102.01
11.0 24.2 82.80 83.80 84.30 84.65 99.88 102.15 104.56
11.5 25.3 84.27 85.43 85.98 86.29 102.23 104.33 106.71
12.0 26.4 85.45 87.16 87.91 88.33 104.39 106.67 109.09
12.5 27.5 87.40 89.45 90.10 90.38 106.82 109.08 111.49
13.0 28.6 88.31 90.08 91.57 92.69 109.24 111.54 114.12
13.5 29.7 89.85 91.69 93.43 94.51 111.65 114.05 116.77
14.0 30.8 91.36 93.20 96.24 96.58 113.53 116.11 118.65
14.5 31.9 93.34 95.08 97.70 98.86 116.74 119.02 121.84
15.0 33.0 97.59 99.50 102.73 103.82 119.77 122.31 125.12
15.5 34.1 102.59 104.19 106.93 108.16 121.03 123.64 126.47
16.0 35.2 103.90 105.52 109.13 110.31 125.65 128.49 131.34
16.5 36.3 105.90 107.67 111.78 113.15 128.44 131.19 134.26
17.0 37.4 109.75 111.63 115.35 116.65 132.26 135.22 138.35
17.5 38.5 113.69 115.47 117.91 119.29 136.42 139.33 142.58
18.0 39.6 117.54 119.50 120.27 121.77 140.16 143.08 146.42
18.5 40.7 121.40 122.29 123.38 124.74 144.21 147.37 150.75
19.0 41.8 123.85 124.73 125.36 126.79 148.13 151.23 154.77
19.5 42.9 124.41 126.62 128.83 130.40 152.09 155.44 158.85
20.0 44.0 126.77 129.18 133.58 135.10 156.00 159.24 163.00
20.5 45.1 130.49 132.34 134.10 136.69 158.34 161.76 165.36
21.0 46.2 134.23 136.19 138.58 141.12 162.14 165.69 169.56
21.5 47.3 138.01 140.12 142.88 145.65 166.13 169.62 173.53
22.0 48.4 140.17 142.19 145.37 148.02 169.99 173.75 177.73
22.5 49.5 142.07 144.21 147.89 150.68 173.94 177.76 181.86
23.0 50.6 144.02 146.26 152.24 155.10 177.66 181.55 185.82
23.5 51.7 145.97 148.26 154.68 157.60 181.78 185.63 189.94
24.0 52.8 149.09 151.31 157.28 160.18 185.71 189.64 194.08
24.5 53.9 150.99 153.39 161.58 164.58 189.57 193.64 198.18
25.0 55.0 154.66 156.77 164.93 167.95 192.58 196.76 201.37
25.5 56.1 158.00 160.13 169.16 172.29 197.59 201.83 206.51
26.0 57.2 160.53 162.66 171.70 174.96 200.60 204.87 209.64
26.5 58.3 163.47 165.71 174.39 177.63 202.90 207.27 212.05
27.0 59.4 165.50 167.63 176.74 180.05 204.30 208.74 213.54
27.5 60.5 167.96 170.35 179.44 182.71 205.65 210.18 214.91
28.0 61.6 169.85 172.15 181.79 185.22 207.08 211.49 216.50
28.5 62.7 172.91 175.33 184.40 187.97 208.72 212.98 217.96
29.0 63.8 176.69 179.17 186.83 190.28 209.90 214.41 219.34
29.5 64.9 180.65 183.40 189.52 193.04 211.47 215.88 220.93
30.0 66.0 182.48 185.31 192.06 195.45 214.40 219.03 224.06
30.1 66.1 3.91 3.97 4.12 4.35 4.58 4.66 4.72
