0.75 1.7 E1 E2 E3 E4 E5 F1 F2 F3 F4 F5 F6 G1 G2 G3 G4 H1 H2 H3 H4 H5
0.75 1.7 38.37 38.01 38.17 38.26 38.54 41.40 41.79 49.14 49.62 50.62 51.11 43.66 43.23 43.44 43.34 50.73 50.25 58.55 40.70 59.99
1.0 2.2 39.46 39.07 39.26 39.35 39.65 43.10 43.51 50.34 50.83 51.84 52.34 44.91 44.46 44.69 44.58 53.03 52.52 60.30 41.86 61.79
1.5 3.3 42.73 42.34 42.52 42.64 42.95 46.62 47.07 54.40 54.92 56.01 56.56 48.50 48.04 48.27 48.14 58.14 57.58 64.79 45.21 66.42
2.0 4.4 46.42 45.97 46.19 46.32 46.65 50.50 51.00 58.77 59.34 60.53 61.11 52.53 52.02 52.27 52.16 62.89 62.29 70.00 48.97 71.74
2.5 5.5 50.17 49.68 49.91 50.03 50.40 54.36 54.89 63.12 63.74 65.02 65.66 56.61 56.07 56.34 56.20 67.62 66.97 75.23 52.77 77.07
3.0 6.6 53.43 52.92 53.17 53.30 53.68 57.84 58.39 66.81 67.46 68.82 69.49 60.23 59.64 59.93 59.78 71.81 71.13 79.67 56.14 81.63
3.5 7.7 56.69 56.14 56.42 56.56 56.95 61.31 61.90 70.47 71.16 72.60 73.30 63.81 63.21 63.51 63.36 75.99 75.27 84.09 59.49 86.18
4.0 8.8 59.93 59.36 59.65 59.78 60.23 64.76 65.39 74.12 74.85 76.35 77.09 67.40 66.75 67.07 66.92 80.16 79.38 88.48 62.83 90.70
4.5 9.9 63.15 62.55 62.85 63.01 63.46 68.19 68.87 77.77 78.51 80.11 80.88 70.96 70.29 70.62 70.44 84.30 83.48 92.88 66.16 95.20
5.0 11.0 66.38 65.73 66.06 66.22 66.69 71.62 72.32 81.38 82.17 83.83 84.64 74.51 73.80 74.15 73.97 88.44 87.58 97.22 69.46 99.68
5.5 12.1 69.50 68.85 69.18 69.34 69.84 74.93 75.66 84.89 85.72 87.46 88.31 77.98 77.24 77.60 77.41 92.43 91.54 101.49 72.70 104.03
6.0 13.2 72.63 71.93 72.29 72.44 72.98 78.24 79.00 88.39 89.26 91.08 91.97 81.43 80.65 81.04 80.85 96.41 95.49 105.70 75.92 108.35
6.5 14.3 75.74 75.01 75.36 75.56 76.10 81.53 82.32 91.89 92.77 94.68 95.60 84.86 84.05 84.46 84.25 100.39 99.42 109.91 79.11 112.65
