(kg) (lb) 1 2 3 4 5 6 7
0.5 1.7 61.92 85.72 84.08 88.43 124.79 126.50 161.96
1.0 2.2 67.76 102.64 104.21 111.62 140.26 153.94 177.98
1.5 3.3 80.16 117.81 119.13 126.22 156.50 179.37 201.57
2.0 4.4 92.56 131.03 132.17 140.72 172.57 205.38 224.66
2.5 5.5 104.92 144.21 145.74 154.79 188.75 232.38 247.77
3.0 6.6 117.28 157.93 159.35 168.72 204.88 250.80 271.42
3.5 7.7 127.29 171.65 172.79 182.65 212.79 266.15 295.12
4.0 8.8 137.12 185.39 186.35 196.75 228.25 286.22 318.81
4.5 9.9 147.10 199.18 199.89 210.76 243.47 306.34 341.25
5.0 11.0 157.25 212.93 213.43 224.68 259.14 326.51 363.74
5.5 12.1 172.14 232.66 232.03 243.18 290.31 368.72 412.47
6.0 13.2 179.65 242.39 241.86 252.61 305.95 390.84 437.33
6.5 14.3 187.18 252.30 251.62 261.99 322.09 413.04 461.60
7.0 15.4 194.66 262.06 261.20 272.36 334.98 432.14 486.03
7.5 16.5 202.17 271.04 269.93 282.54 347.92 451.16 510.33
8.0 17.6 209.72 280.83 278.20 292.51 358.63 470.25 536.55
8.5 18.7 217.25 290.17 287.28 302.35 372.68 489.42 560.31
9.0 19.8 224.83 300.53 297.36 312.18 386.68 508.48 583.97
9.5 20.9 233.21 310.30 306.70 322.05 402.32 527.64 607.66
10.0 22.0 237.62 318.71 315.35 331.03 412.97 542.86 631.38
10.5 23.1 246.38 335.63 332.53 349.16 441.75 573.32 683.90
11.0 24.2 250.80 344.00 343.04 358.28 457.22 588.63 710.01
11.5 25.3 255.26 352.48 351.48 367.40 470.07 603.77 733.77
12.0 26.4 259.57 360.91 359.63 376.38 482.89 619.06 757.49
12.5 27.5 264.05 369.26 367.94 385.68 495.80 634.34 781.22
13.0 28.6 268.37 377.73 375.73 394.54 506.87 649.62 804.88
13.5 29.7 272.75 385.79 383.86 403.95 519.77 669.47 828.57
14.0 30.8 277.12 394.19 392.45 413.15 532.48 689.45 853.54
14.5 31.9 280.87 402.60 400.64 422.41 545.39 709.37 875.27
15.0 33.0 288.32 421.33 417.17 440.93 571.00 749.20 914.85
15.5 34.1 292.09 429.71 426.40 450.20 585.00 769.03 934.66
16.0 35.2 295.79 438.01 434.63 459.50 599.00 789.10 954.50
16.5 36.3 299.57 446.53 442.85 468.76 613.42 808.93 974.23
17.0 37.4 303.28 454.86 451.16 477.98 628.04 823.04 993.94
17.5 38.5 306.98 463.34 459.42 487.25 640.33 837.01 1,013.75
18.0 39.6 310.65 471.71 467.65 496.55 652.47 851.19 1,033.55
18.5 40.7 314.46 481.94 475.95 505.73 664.58 865.16 1,053.40
19.0 41.8 318.14 490.73 484.46 515.10 676.77 884.32 1,075.98
19.5 42.9 321.80 499.40 492.98 524.33 688.92 903.35 1,095.97
20.0 44.0 329.36 516.81 510.01 542.96 713.32 941.60 1,133.66
20.5 45.1 333.06 525.58 521.27 552.23 726.93 960.70 1,153.58
21.0 46.2 336.77 534.31 529.43 561.49 740.36 979.44 1,172.39
21.5 47.3 340.43 543.03 537.73 570.61 753.90 998.32 1,191.16
22.0 48.4 344.10 551.72 545.92 579.87 767.51 1,015.84 1,210.04
22.5 49.5 347.88 560.45 554.08 589.24 781.12 1,033.37 1,228.78
23.0 50.6 352.05 569.15 562.31 598.54 794.54 1,050.80 1,247.52
23.5 51.7 356.21 577.94 570.43 607.70 807.87 1,068.43 1,276.88
24.0 52.8 360.42 586.67 578.69 617.06 821.12 1,085.89 1,297.18
24.5 53.9 364.55 595.40 586.82 626.36 834.27 1,104.23 1,317.63
25.0 55.0 372.88 612.83 603.38 644.77 860.84 1,140.67 1,358.53
25.5 56.1 377.02 621.52 618.59 654.04 874.48 1,158.71 1,378.91
26.0 57.2 381.08 630.14 626.72 663.38 887.59 1,173.92 1,399.39
26.5 58.3 385.32 638.93 634.80 672.64 900.89 1,189.16 1,419.77
27.0 59.4 389.45 647.66 643.00 681.90 914.28 1,204.23 1,440.18
27.5 60.5 393.59 656.36 651.02 691.09 927.53 1,219.33 1,460.59
28.0 61.6 397.33 665.09 659.14 700.49 940.75 1,234.62 1,481.15
28.5 62.7 401.10 673.84 667.37 709.65 954.14 1,252.47 1,501.48
29.0 63.8 404.84 682.47 675.53 718.91 967.29 1,270.32 1,522.00
29.5 64.9 408.41 691.31 683.53 728.21 979.40 1,288.16 1,542.32
30.0 66.0 415.96 708.65 699.82 746.74 1,003.42 1,323.86 1,583.14
30.1 66.1 3.92 9.45 9.70 10.01 14.27 12.90 21.34
