(kg) (lb) A1 A2 A3 A4 A5 A6 B1 B2 B3 B4 B5 C1 C2 C3 C4 C5 D1 D2 D3 D4 D5 D6 D7
0.75 1.7 9.67 9.78 9.70 9.76 10.39 10.75 11.34 11.31 11.72 11.66 11.73 11.74 11.87 11.53 11.94 11.74 13.05 13.01 13.73 13.34 13.76 13.30 13.38
1.0 2.2 10.33 10.58 10.36 10.44 10.91 11.54 11.91 11.90 12.24 12.21 12.43 12.31 12.73 11.91 12.57 12.24 14.32 14.27 15.05 14.64 15.24 14.70 15.00
1.5 3.3 11.07 11.37 11.09 11.18 11.44 12.35 12.71 12.69 13.16 13.12 13.35 13.16 13.79 12.72 13.47 13.11 15.23 15.17 16.02 15.50 16.23 15.63 15.99
2.0 4.4 11.20 11.65 11.22 11.29 11.66 12.57 13.26 13.23 13.72 13.65 13.87 13.69 14.27 13.27 14.03 13.58 15.88 15.81 16.70 16.27 17.02 16.30 16.71
2.5 5.5 11.44 12.16 11.46 11.54 12.26 13.06 13.76 13.74 14.20 14.15 14.38 14.18 14.83 13.75 14.52 14.07 16.71 16.64 17.51 16.93 17.68 17.12 17.52
3.0 6.6 11.87 12.59 11.89 11.96 12.74 13.49 14.24 14.22 14.67 14.63 14.87 14.67 15.38 14.22 15.02 14.54 17.31 17.23 18.13 17.53 18.32 17.74 18.15
3.5 7.7 12.30 13.02 12.31 12.40 13.16 13.91 14.73 14.71 15.16 15.11 15.36 15.15 15.91 14.69 15.51 15.01 17.90 17.80 18.84 18.13 18.95 18.34 18.76
4.0 8.8 12.69 13.46 12.72 12.83 13.58 14.34 15.22 15.19 15.66 15.59 15.84 15.66 16.45 15.17 16.02 15.49 18.46 18.39 19.46 18.73 19.57 18.94 19.38
4.5 9.9 13.12 13.87 13.15 13.25 13.99 14.75 15.70 15.68 16.14 16.07 16.34 16.16 16.99 15.63 16.50 15.97 19.04 18.97 20.08 19.32 20.21 19.54 20.00
5.0 11.0 13.54 14.31 13.56 13.66 14.40 15.19 16.18 16.15 16.62 16.56 16.82 16.67 17.51 16.11 17.00 16.44 19.62 19.54 20.71 19.92 20.82 20.12 20.62
5.5 12.1 13.96 14.72 13.98 14.08 14.81 15.59 16.57 16.54 17.00 16.93 17.20 17.15 18.02 16.55 17.47 16.91 20.18 20.09 21.31 20.49 21.41 20.71 21.21
6.0 13.2 14.37 15.15 14.39 14.50 15.20 15.99 17.02 17.00 17.45 17.40 17.67 17.62 18.50 17.01 17.96 17.35 20.73 20.66 21.92 21.06 22.02 21.28 21.81
6.5 14.3 14.79 15.56 14.80 14.91 15.62 16.40 17.49 17.47 17.92 17.86 18.13 18.10 19.01 17.47 18.43 17.82 21.28 21.20 22.52 21.64 22.63 21.84 22.41
7.0 15.4 15.19 15.97 15.22 15.33 16.03 16.80 17.94 17.92 18.38 18.32 18.60 18.57 19.50 17.90 18.90 18.25 21.83 21.75 23.12 22.21 23.22 22.43 23.01
7.5 16.5 15.60 16.39 15.62 15.74 16.43 17.21 18.40 18.38 18.83 18.78 19.07 19.04 20.00 18.36 19.36 18.71 22.36 22.29 23.70 22.77 23.80 22.99 23.59
8.0 17.6 16.00 16.81 16.04 16.15 16.83 17.60 18.86 18.83 19.29 19.22 19.53 19.51 20.48 18.79 19.83 19.15 22.91 22.85 24.29 23.34 24.40 23.55 24.19
8.5 18.7 16.41 17.24 16.43 16.55 17.24 18.01 19.32 19.29 19.75 19.68 19.99 19.96 20.96 19.24 20.29 19.60 23.46 23.39 24.88 23.91 24.99 24.11 24.76
9.0 19.8 16.80 17.62 16.82 16.96 17.63 18.40 19.76 19.73 20.20 20.11 20.43 20.43 21.47 19.67 20.74 20.05 23.99 23.92 25.47 24.46 25.56 24.67 25.34
9.5 20.9 17.21 18.00 17.24 17.37 18.01 18.79 20.21 20.18 20.63 20.56 20.89 20.89 21.95 20.11 21.23 20.49 24.54 24.46 26.06 25.01 26.15 25.22 26.09
10.0 22.0 17.61 18.40 17.64 17.75 18.41 19.19 20.65 20.61 21.09 21.01 21.33 21.34 22.44 20.55 21.68 20.93 25.07 24.98 26.64 25.57 26.72 25.78 26.66
10.5 23.1 18.00 18.80 18.02 18.16 18.81 19.57 21.09 21.06 21.54 21.46 21.78 21.81 22.91 20.99 22.13 21.35 25.60 25.51 27.20 26.11 27.29 26.33 27.22
11.0 24.2 18.37 19.20 18.40 18.54 19.21 19.95 21.54 21.51 21.98 21.90 22.23 22.26 23.38 21.42 22.58 21.80 26.10 26.02 27.77 26.64 27.84 26.87 27.77
11.5 25.3 18.74 19.61 18.77 18.92 19.62 20.35 21.98 21.95 22.43 22.33 22.68 22.72 23.87 21.84 23.05 22.23 26.61 26.54 28.33 27.18 28.41 27.40 28.34
12.0 26.4 19.12 20.00 19.16 19.31 20.01 20.74 22.43 22.39 22.86 22.75 23.12 23.17 24.34 22.28 23.50 22.67 27.13 27.06 28.88 27.71 28.97 27.92 28.88
12.5 27.5 19.50 20.38 19.56 19.68 20.41 21.11 22.86 22.82 23.29 23.19 23.55 23.62 24.81 22.71 23.94 23.10 27.65 27.56 29.44 28.26 29.52 28.44 29.45
13.0 28.6 19.88 20.76 19.91 20.07 20.81 21.49 23.29 23.26 23.73 23.63 23.99 24.05 25.29 23.14 24.38 23.51 28.15 28.07 30.00 28.78 30.08 28.99 29.98
13.5 29.7 20.25 21.15 20.30 20.44 21.20 21.88 23.72 23.69 24.17 24.05 24.44 24.49 25.75 23.55 24.82 23.96 28.66 28.56 30.55 29.29 30.63 29.52 30.55
14.0 30.8 20.63 21.53 20.66 20.82 21.59 22.26 24.16 24.12 24.59 24.49 24.88 24.94 26.20 23.97 25.27 24.37 29.15 29.08 31.10 29.81 31.17 30.04 31.07
14.5 31.9 21.00 21.90 21.03 21.19 21.98 22.62 24.57 24.53 25.01 24.91 25.30 25.39 26.66 24.39 25.71 24.80 29.67 29.57 31.64 30.33 31.73 30.55 31.61
15.0 33.0 21.35 22.28 21.40 21.56 22.37 23.00 25.00 24.96 25.43 25.35 25.72 25.82 27.13 24.81 26.15 25.21 30.16 30.08 32.18 30.84 32.26 31.07 32.15
