(kg) (lb) 1 2 3 4 5 6 7
0.5 1.7 20.35 20.63 20.68 20.85 21.03 21.13 21.79
1.0 2.2 22.24 22.69 22.80 22.91 23.09 23.15 24.75
1.5 3.3 24.03 24.38 25.03 25.13 27.13 27.87 27.97
2.0 4.4 25.91 26.23 26.70 26.97 29.82 30.82 30.88
2.5 5.5 27.17 27.73 28.34 28.79 30.75 31.96 32.08
3.0 6.6 28.19 28.57 29.58 29.75 31.54 32.75 33.38
3.5 7.7 29.65 30.00 31.50 31.77 33.89 35.25 35.97
4.0 8.8 31.01 32.07 33.53 33.86 35.19 36.49 36.66
4.5 9.9 32.04 33.28 35.17 35.62 37.58 38.86 39.08
5.0 11.0 34.18 34.62 36.98 37.36 39.88 41.33 43.57
5.5 12.1 36.11 37.20 39.58 39.87 43.16 44.19 46.57
6.0 13.2 37.96 39.24 41.54 41.88 45.01 46.65 47.68
6.5 14.3 39.65 41.20 43.37 43.71 46.62 48.89 50.60
7.0 15.4 41.27 43.40 45.32 45.72 47.94 51.30 52.55
7.5 16.5 43.43 44.62 47.16 47.56 50.11 53.81 55.64
8.0 17.6 45.62 46.32 48.95 49.41 51.98 56.01 58.05
8.5 18.7 46.21 46.67 51.08 51.36 54.21 58.76 60.76
9.0 19.8 48.14 48.47 52.91 53.26 56.77 61.68 63.27
9.5 20.9 49.52 50.61 54.80 55.14 62.10 63.40 65.11
10.0 22.0 51.11 52.41 56.84 57.60 63.38 66.05 68.26
10.5 23.1 52.72 54.16 58.52 60.12 65.67 68.80 70.79
11.0 24.2 54.01 55.16 59.41 61.81 68.07 71.25 73.30
11.5 25.3 55.40 57.02 61.49 63.75 68.32 73.55 75.65
12.0 26.4 56.92 58.47 63.42 65.55 69.14 74.76 77.51
12.5 27.5 58.84 60.65 65.21 67.39 70.81 75.91 78.66
13.0 28.6 61.03 63.05 66.04 69.60 72.81 76.96 81.01
13.5 29.7 62.54 64.33 66.86 70.14 73.46 78.80 81.66
14.0 30.8 64.29 66.31 67.34 70.50 75.80 81.28 84.11
14.5 31.9 65.74 67.75 68.72 72.29 77.01 82.19 85.96
15.0 33.0 67.31 69.20 71.38 74.44 78.46 83.64 88.37
15.5 34.1 69.69 70.38 75.04 75.55 80.14 86.97 89.92
16.0 35.2 70.92 72.07 77.06 77.57 82.32 89.83 92.40
16.5 36.3 72.48 73.69 79.08 79.95 84.55 92.29 94.68
17.0 37.4 73.87 75.48 81.11 82.32 86.84 94.93 97.65
17.5 38.5 75.73 77.30 83.15 84.35 89.04 97.63 100.13
18.0 39.6 77.59 78.51 85.29 86.44 91.33 100.21 102.37
18.5 40.7 79.22 80.42 87.25 88.12 93.57 102.78 104.83
19.0 41.8 81.02 81.82 88.32 89.13 95.98 107.29 107.87
19.5 42.9 82.53 83.73 90.01 91.16 98.32 109.61 110.22
20.0 44.0 83.98 85.32 91.35 91.92 102.67 111.95 113.14
20.5 45.1 85.50 87.22 93.14 94.98 106.95 115.31 115.72
21.0 46.2 87.30 88.27 94.37 97.01 109.31 117.91 118.92
21.5 47.3 89.15 90.13 96.35 99.10 111.43 120.08 122.48
22.0 48.4 90.94 91.98 98.37 101.13 113.62 122.55 124.99
22.5 49.5 92.75 93.77 100.34 103.15 115.79 125.07 127.45
23.0 50.6 94.56 95.59 102.25 105.19 118.26 127.30 129.70
23.5 51.7 96.42 97.45 104.23 107.22 122.03 129.72 132.22
24.0 52.8 98.26 99.30 106.20 109.25 124.95 132.25 134.81
24.5 53.9 100.13 101.23 108.17 111.33 126.62 134.49 137.22
25.0 55.0 101.93 103.08 110.15 113.36 129.71 136.83 139.50
25.5 56.1 103.55 104.69 112.04 113.90 132.46 137.99 140.60
26.0 57.2 105.42 106.50 113.97 115.17 134.42 140.40 143.08
26.5 58.3 107.22 108.36 115.95 117.10 136.50 142.71 145.38
27.0 59.4 109.00 110.16 117.92 119.07 137.76 144.94 147.84
27.5 60.5 110.81 112.07 119.89 121.10 139.65 147.46 150.30
28.0 61.6 112.76 113.87 121.85 123.08 141.32 149.74 152.59
28.5 62.7 114.58 115.74 123.89 125.08 143.12 152.11 155.06
29.0 63.8 116.38 117.65 125.91 127.12 144.55 154.57 157.46
29.5 64.9 117.55 119.44 127.84 129.09 146.45 156.80 159.83
30.0 66.0 119.34 121.28 129.80 131.07 149.43 159.10 162.22
30.1 66.1 1.54 1.65 1.71 1.77 2.33 2.43 2.50
