(kg) (lb) A1 A2 A3 A4 A5 A6 B1 B2 B3 B4 B5 C1 C2 C3 C4 C5 D1 D2 D3 D4 D5 D6 D7
0.75 1.7 11.14 11.49 11.19 11.26 11.51 12.11 12.22 12.20 12.62 12.59 12.63 12.67 12.91 12.52 13.03 12.63 14.61 14.57 15.53 14.83 15.40 14.92 15.24
1.0 2.2 13.15 13.37 13.21 13.30 13.39 14.85 15.10 15.08 15.75 15.69 16.03 16.22 16.60 15.55 16.31 15.65 19.36 19.29 20.61 20.70 21.29 19.79 20.31
1.5 3.3 13.96 15.09 14.02 14.13 15.68 15.82 15.94 15.91 16.28 16.21 16.59 16.81 17.70 15.91 16.89 16.38 20.34 20.26 21.72 21.76 22.63 20.75 21.50
2.0 4.4 14.53 15.15 14.60 14.69 16.45 16.62 16.72 16.69 17.03 16.96 17.15 17.16 18.05 16.65 17.65 17.10 21.22 21.13 22.56 22.61 23.45 21.65 22.43
2.5 5.5 15.08 15.26 15.14 15.24 16.72 16.98 17.00 16.98 17.48 17.42 17.88 18.11 19.07 17.18 18.19 17.61 21.77 21.68 23.49 23.53 24.45 22.18 22.99
3.0 6.6 15.56 15.77 15.64 15.74 17.24 17.53 17.55 17.52 18.03 17.96 18.46 18.70 19.67 17.72 18.77 18.18 22.46 22.35 24.23 24.28 25.21 22.88 23.70
3.5 7.7 16.04 16.26 16.12 16.24 17.75 18.07 18.10 18.07 18.58 18.50 19.00 19.26 20.26 18.24 19.34 18.75 23.12 23.03 24.98 25.03 26.00 23.58 24.43
4.0 8.8 16.52 16.76 16.60 16.71 18.25 18.60 18.63 18.60 19.11 19.05 19.57 19.81 20.85 18.77 19.91 19.30 23.80 23.70 25.70 25.77 26.76 24.26 25.14
4.5 9.9 17.01 17.27 17.09 17.20 18.77 19.12 19.15 19.12 19.65 19.58 20.14 20.38 21.45 19.30 20.47 19.86 24.47 24.37 26.45 26.52 27.54 24.95 25.85
5.0 11.0 17.49 17.76 17.57 17.69 19.27 19.66 19.69 19.65 20.19 20.11 20.67 20.93 22.04 19.83 21.05 20.42 25.14 25.03 27.18 27.25 28.29 25.64 26.57
5.5 12.1 17.93 18.25 18.02 18.15 19.74 20.17 20.19 20.18 20.71 20.65 21.22 21.50 22.63 20.34 21.59 20.93 25.80 25.69 27.91 27.99 29.04 26.30 27.26
6.0 13.2 18.39 18.72 18.48 18.60 20.23 20.68 20.71 20.69 21.24 21.17 21.74 22.05 23.20 20.86 22.13 21.45 26.46 26.35 28.61 28.68 29.78 26.96 27.94
6.5 14.3 18.83 19.20 18.92 19.06 20.72 21.18 21.22 21.18 21.76 21.68 22.28 22.59 23.78 21.38 22.68 21.98 27.10 27.00 29.31 29.39 30.52 27.64 28.63
7.0 15.4 19.27 19.66 19.38 19.49 21.19 21.69 21.73 21.70 22.29 22.21 22.81 23.15 24.36 21.89 23.21 22.49 27.75 27.63 30.02 30.10 31.24 28.30 29.31
7.5 16.5 19.71 20.14 19.82 19.94 21.67 22.21 22.24 22.21 22.81 22.71 23.34 23.68 24.93 22.40 23.76 23.02 28.41 28.28 30.72 30.80 31.99 28.96 29.99
