(kg) (lb) E1 E2 E3 E4 E5 F1 F2 F3 F4 F5 F6 G1 G2 G3 G4 H1 H2 H3 H4 H5 J1 J2
0.75 1.7 13.30 13.04 13.09 13.17 13.22 13.97 14.10 15.69 15.84 16.14 16.30 15.10 14.95 14.98 14.94 16.13 15.97 18.11 14.34 18.15 14.84 17.41
1.0 2.2 14.66 14.45 14.51 14.59 14.66 15.04 15.17 18.28 18.46 18.84 19.00 16.20 16.05 16.08 16.05 17.37 17.21 20.41 15.39 20.32 16.44 18.26
1.5 3.3 15.59 15.35 15.43 15.50 15.58 16.41 16.58 19.00 19.20 19.57 19.77 17.63 17.45 17.50 17.46 18.97 18.79 22.41 16.75 22.37 17.83 20.95
2.0 4.4 16.35 16.19 16.28 16.35 16.42 17.23 17.39 19.88 20.07 20.47 20.67 18.56 18.38 18.43 18.38 20.00 19.79 23.51 17.62 24.04 20.76 24.39
2.5 5.5 17.09 16.92 17.00 17.09 17.17 17.79 17.96 21.01 21.21 21.65 21.85 19.12 18.93 18.97 18.93 20.83 20.63 24.65 18.16 25.20 23.77 27.94
3.0 6.6 17.69 17.53 17.62 17.69 17.79 18.43 18.61 21.72 21.93 22.36 22.58 19.96 19.75 19.79 19.76 21.70 21.48 25.67 18.96 26.24 28.71 30.65
3.5 7.7 18.31 18.12 18.23 18.31 18.39 19.09 19.26 22.42 22.64 23.08 23.31 20.77 20.57 20.63 20.58 22.55 22.34 26.67 19.74 27.29 31.01 33.35
4.0 8.8 18.92 18.73 18.82 18.92 19.00 19.74 19.92 23.12 23.35 23.78 24.02 21.60 21.40 21.45 21.41 23.41 23.18 27.67 20.52 28.34 33.32 36.04
4.5 9.9 19.51 19.33 19.44 19.51 19.60 20.38 20.57 23.82 24.05 24.50 24.74 22.42 22.21 22.27 22.21 24.27 24.04 28.66 21.29 29.36 35.61 38.74
5.0 11.0 20.12 19.92 20.03 20.12 20.21 21.01 21.22 24.52 24.76 25.20 25.43 23.23 23.04 23.09 23.04 25.11 24.86 29.65 22.08 30.39 37.89 41.43
5.5 12.1 20.72 20.53 20.62 20.72 20.82 21.64 21.83 25.18 25.42 25.90 26.15 24.01 23.79 23.86 23.79 25.96 25.70 30.61 22.81 31.37 40.86 47.01
6.0 13.2 21.32 21.12 21.21 21.32 21.42 22.24 22.46 25.85 26.10 26.56 26.82 24.78 24.54 24.60 24.54 26.79 26.52 31.56 23.54 32.35 43.09 49.70
6.5 14.3 21.91 21.70 21.79 21.91 22.01 22.86 23.08 26.50 26.76 27.26 27.53 25.55 25.30 25.36 25.31 27.62 27.36 32.50 24.27 33.32 45.30 52.40
7.0 15.4 22.50 22.29 22.38 22.50 22.61 23.46 23.68 27.16 27.42 27.93 28.20 26.30 26.04 26.11 26.05 28.45 28.17 33.43 25.00 34.29 47.51 55.09
7.5 16.5 23.09 22.87 22.97 23.09 23.19 24.06 24.30 27.84 28.10 28.62 28.90 27.06 26.80 26.86 26.80 29.28 28.99 34.37 25.71 35.24 49.70 57.77
8.0 17.6 23.67 23.44 23.56 23.67 23.78 24.66 24.90 28.47 28.75 29.30 29.58 27.83 27.55 27.62 27.55 30.09 29.80 35.31 26.43 36.20 51.89 60.44
8.5 18.7 24.25 24.03 24.15 24.25 24.36 25.27 25.51 29.12 29.39 29.95 30.25 28.56 28.28 28.37 28.28 30.90 30.61 36.23 27.14 37.17 54.09 63.10
9.0 19.8 24.83 24.60 24.73 24.83 24.97 25.86 26.11 29.78 30.06 30.63 30.92 29.31 29.04 29.10 29.04 31.72 31.40 37.14 27.85 38.12 56.27 65.75
9.5 20.9 25.40 25.15 25.30 25.40 25.54 26.46 26.71 30.42 30.72 31.30 31.59 30.07 29.78 29.84 29.77 32.52 32.20 38.06 28.56 39.06 58.45 68.40
10.0 22.0 25.98 25.73 25.87 25.98 26.12 27.04 27.30 31.05 31.35 31.96 32.28 30.78 30.49 30.57 30.50 33.32 32.99 38.97 29.24 40.01 60.62 71.02
10.5 23.1 26.54 26.28 26.43 26.54 26.69 27.63 27.90 31.70 32.01 32.62 32.93 31.53 31.23 31.29 31.23 34.12 33.79 39.89 29.94 40.94 62.78 73.66
11.0 24.2 27.11 26.84 26.99 27.11 27.25 28.21 28.48 32.33 32.63 33.27 33.58 32.26 31.96 32.03 31.96 34.92 34.59 40.78 30.65 41.88 64.93 76.27
